Stock,Harvest Value,NPV
-9907.169867105269,0.0,-190420.6605165703
3438.3077224655785,-598585.1020975464,-212235.314435721
1175.750566688072,-83679.45132482187,-251977.74785958693
-3429.8584440388177,-260197.97645752013,-214713.10131752328
-1751.932582756933,-400287.4711465727,-208000.99095350897
-4697.366626816178,-65766.82614042866,-228002.5003277375
1417.3656382502359,-353975.86252748076,-234198.28439940469
-5404.18359571887,-229374.96432952597,-202042.42514670096
-6637.467795788554,-68977.50361153233,-212357.97764294106
-2081.35259523463,-223720.04484126167,-228254.21873029385
1517.7180089866774,-541137.326738264,-211682.7302032451
-2801.5646753226197,-75782.83307960251,-238826.60311292842
-3470.0386465950855,-321822.6558706178,-205773.92602451294
1436.945361497259,-257372.9876516768,-243979.9291172805
-1537.6340779577672,-318951.88608158106,-220753.54420127088
-6940.46158737143,-142263.47152687606,-200110.1784521358
1486.4255508206138,-434738.16970556026,-225295.33674472084
-680.9977924625719,-447844.5076895197,-209545.84278374637
-4189.075334215604,-186503.22283408462,-218207.29629082265
1175.750566688072,-83679.45132482187,-251977.74785958693
-1372.2370057423104,-192041.48290266996,-235994.0893755478
-5042.51512709804,-188876.20102629278,-211082.09394603735
-5806.055656099252,-55641.19440338771,-220829.38106188097
-8100.315516045739,-38664.06463803393,-203020.02725927974
2355.93494671392,-575019.9479873334,-212281.0246969445
-3271.69765315205,-181202.62589808248,-225114.09859855272
-1099.4093374426134,-275440.7784522777,-228619.9813515076
-4119.939032137104,-291236.67426052486,-204679.56489818002
-1242.6116368758921,-78616.6461728799,-246487.55854131532
1638.6564838515792,-177292.39771933423,-250165.71729884399
-403.845677779622,-459676.36081608175,-209806.62425037564
-2283.9262286349203,-376211.48389275937,-207045.4142251208
-754.6332509112736,-379648.8348629314,-218391.2051360684
-6672.180236712641,-166294.80133576933,-199013.71281950004
-3078.106975915394,-340157.9526115498,-206264.60972144213
552.6491018083041,-500590.79587499704,-210605.0551279994
-8178.223770223722,-90064.61184638404,-195318.85527972164
-2462.0817984016594,-312904.5530923458,-215167.78000255217
-3765.262396313923,-71728.58163723125,-233487.43963086104
-4638.349910110216,-266367.1792470576,-203493.9550626009
-2756.19415809968,-254105.16673104485,-220236.7706481399
1151.3708245020412,-306258.5769468053,-237911.00734700033
1188.838579104161,-388020.932859971,-229094.90748076464
1279.2216884424133,-468643.20933203556,-220080.00007275117
-5932.76162519583,-145024.42221908897,-209114.10850224746
3438.3077224655785,-598585.1020975464,-212235.314435721
400.1896056030305,-64579.520303784375,-251244.07362709971
-875.1663691016873,-241404.02120298397,-233763.8300050552
-1481.72712413361,-412292.5595755331,-208306.25628765378
-5092.984123630527,-143356.96899336422,-216277.32408785212
275.60266924695213,-489046.65103132994,-210406.03336994062
-1481.72712413361,-412292.5595755331,-208306.25628765378
-835.9658628974834,-311449.4025545497,-226135.13994337516
-3973.4330921718947,-164795.80610389385,-222157.35357717075
-2580.5859750804993,-185772.79898398742,-229205.37335498058
-5404.18359571887,-229374.96432952597,-202042.42514670096
-800.5094564122584,-345736.02313001687,-222291.16669923047
-4330.155340560547,-240687.77014266033,-210255.2531183913
-2093.027734715951,-164286.48825687947,-234400.29334031933
-2945.4951232262624,-346234.8592164317,-206464.67265019607
-2680.16916575857,-358325.3292218624,-206673.23754158453
-5435.734365002643,-194375.66974433284,-206768.11668457583
-609.858126286388,-181783.11785631938,-241090.3350587755
1001.1652809374162,-121366.46307601604,-250945.75448951244
-268.506364420461,-465536.57401074824,-210078.6088589904
-4119.939032137104,-291236.67426052486,-204679.56489818002
1378.0261966763178,-535386.9807387516,-211580.7539550021
-6603.6645111747885,-103137.48271545845,-208417.40739420507
1517.7180089866774,-541137.326738264,-211682.7302032451
-8684.416880105746,-41048.0274028659,-197108.64145126467
-6232.680479694055,-62398.86293987995,-216555.45795375018
-7501.378753984604,-35526.95104906329,-208844.989437591
-5146.187496708252,-73671.25540474498,-223869.66690356954
-3600.2650184650843,-315670.39537872776,-205536.9788628566
-3146.6492752793743,-295413.7778981971,-212194.80311999228
-376.4643793563913,-230993.47713997148,-237573.65518991768
-2041.9129567260798,-90526.77944443232,-241559.47089370765
-6771.314154472732,-122858.66398080593,-204277.5246578226
-1949.9010265003672,-349292.96010823885,-214034.77170962904
-3240.5201864186015,-227564.7304366188,-219985.82493402917
-6040.050634877987,-197726.31154956238,-200700.67129163526
736.3583902615411,-420565.8464457044,-222589.2982617426
-4769.590188278333,-260219.8105865341,-203359.1018136532
1231.7810050644066,-218941.58087141294,-246178.00611311232
645.8282840266255,-316874.5318769348,-234066.00981656666
-2052.167201627451,-270280.91672243207,-223121.08572040685
-1225.3445225140272,-376873.8612871622,-215621.44602855228
541.5856217416217,-452977.46467893297,-217297.69584954603
-7302.8316392683555,-134620.16184813704,-197707.04715704525
-3050.128790079791,-159236.5019973807,-228962.1742729805
-4004.4634197961877,-94539.51144527888,-229701.79488149512
-4661.348029749491,-147742.4989572618,-219172.15976469064
-808.1602824455767,-441899.1550046452,-209058.83977392752
411.410953835961,-495121.9094442991,-210541.71754925724
648.1351994416467,-256911.63046153824,-240320.09227889683
-4168.970935318835,-210085.31657855035,-215669.67594160314
-2014.5040929001154,-388378.6766299832,-207627.72642597728
-2658.4157576946573,-321197.3865026792,-212399.23341597355
-2575.3417453000316,-162335.35743668355,-231694.45008133515
-2148.993926996531,-382397.9643564063,-207361.56596862187
-2776.4066792878075,-231413.8562123181,-222788.39285125694
-3051.73162891806,-99876.56945255058,-235120.00733555638
-2327.1067589429094,-115754.94697028765,-237937.54628883037
