Stock,Harvest Value,NPV
-1712.3809726127201,0.0,-46535.21706040477
2071.523005484148,-174300.03161998626,-53536.4916535556
1493.6860414139958,-25114.671802387395,-69547.95404474728
309.4381338492634,-70637.9535496608,-55421.144929667214
553.0071802384405,-111612.45526844068,-51413.19513587404
-50.392466308820445,-14032.16082897154,-60427.32915069336
1639.479916730613,-99148.3629418895,-61461.69636572123
-410.2064289870798,-65552.3046535267,-49702.925110599055
-708.8245771236388,-12819.689656161361,-54752.28540010153
709.5315063878561,-59464.653057766,-60721.551716269736
1420.4970851636494,-148364.9846475995,-53010.769095905925
853.5728529467826,-94957.80922173448,-56681.08428047218
492.07155413330935,-16981.597379064173,-64437.56708569222
1665.4327954475898,-71555.41196172073,-65099.734945675176
-750.876858789524,-36741.613512595024,-50744.1225167953
1507.310290815517,-120100.49107850123,-57851.09937644016
109.06659442751123,-90423.35149182883,-50778.95024517095
-37.31814681708153,-44746.0935328429,-56301.93485210031
817.5301227648524,-124073.66197449023,-52123.69019262636
928.8513268667639,-80410.0776322142,-58981.859876475835
1905.2478037928875,-167995.76466318616,-53367.70446048196
1493.6860414139958,-25114.671802387395,-69547.95404474728
-96.4670789365453,-58458.25101843211,-53736.3572544673
-854.8261895312742,-43906.77474857706,-48848.815630622485
993.624062043162,-52940.25417759398,-63185.693448000675
282.4601694203381,-47513.8541723152,-58840.80358320075
-1129.4019725888306,-6797.92723614769,-51332.639147880225
-371.0676391377238,-11391.8904945188,-58235.616167151806
444.52846659974966,-89407.7595757732,-54130.99320564443
1018.0962696549282,-111200.95832764097,-55467.94716702563
949.5167110612413,-17881.57656011244,-67171.40069498985
1679.0433731171652,-48639.411885082365,-67686.37842022014
-373.1122425835077,-39875.55634406152,-54035.00992815486
1340.8973558870266,-144807.87733318473,-52753.228772195114
502.2779526316176,-68876.14337769213,-57479.36765559523
501.96191717392213,-44362.9716885783,-60719.59788770427
-119.57574740563751,-80060.97037803456,-50357.96778979856
1069.261881595475,-73791.41212168497,-60974.114113457515
161.79933005161405,-77619.52752450795,-53534.35206895591
1024.030723124678,-131816.3117675665,-52264.80220298432
-1192.0900955618179,-25282.9022673683,-47985.23037571781
255.27894092695166,-97648.09326663807,-50898.47005380925
200.91448233922682,-15993.1544051485,-62477.12474810405
1667.7345939976203,-137175.63306326428,-56412.24153890645
1573.732802853225,-109405.26756349161,-59593.864688588124
1657.2883189832307,-85354.5175525465,-63316.32076843676
652.4999935526321,-100145.71571805242,-54368.266781173625
402.1470773309205,-104621.66542162719,-51216.40646804364
696.2333651372581,-42234.675366448246,-62718.00595802373
-284.1487224635656,-56339.26524469616,-52670.413604682915
299.7574433967628,-60730.8451102804,-56837.79256511412
8.847960433867627,-35677.690733921176,-58270.33917520697
-643.139141162912,-31709.190914367602,-52891.57892714317
988.6432625892039,-90739.49481389408,-58196.113054204114
-249.90055686644854,-33608.5596468718,-56043.608916848265
1099.5974114897112,-135399.2877554574,-52408.72209650072
645.2028175317117,-80091.81035018979,-57240.90516144493
1345.6961818683128,-23896.0387747054,-68896.87587979357
-221.6336026889049,-74859.0171102187,-50048.80571844118
-522.1380333441493,-60412.620465443615,-49603.04482200193
595.4417022518195,-113694.16451069617,-51661.85295468347
1129.0732525912795,-64222.924806385054,-63039.53246752966
-1264.3473803596032,-11769.576646357717,-49331.88561399246
1824.9733791313324,-164797.495009027,-53323.98653403699
1543.8222557913155,-35156.94093785474,-68624.7623018436
-22.763624585942893,-68591.2696480542,-53040.07794128544
219.66630589121792,-36495.572686841115,-59663.81939970408
1144.8078745590415,-84709.44815854456,-60135.42582103509
1655.233944688008,-158467.31384758957,-53279.48664540095
715.9333014635085,-119419.56634578988,-51806.7781633712
-584.940348859797,-10152.6132628244,-56181.86812114035
982.0535394729982,-130375.06784366899,-52314.038058713304
165.32807645535377,-59918.102794678496,-56060.48786017718
635.2032879851575,-69991.70223357108,-58500.119657776246
505.6795738449072,-61709.662756497135,-58382.99696383073
59.712317703890506,-88785.78447921638,-50764.591058699014
927.2561968979635,-42755.169727466084,-64084.563319960565
566.3538757225796,-86269.26507668442,-55673.99456948653
-493.5454673432293,-52278.41677308289,-51132.01016668232
720.3748851388814,-17258.54241686828,-65802.99779470715
1438.6623932108034,-134025.8572582755,-55669.40030179348
322.5565454884786,-88530.57630132968,-52961.50073353478
-630.8457137119168,-54900.5948962917,-49213.39818733196
-893.4273516604401,-24858.890069316458,-51205.770542384045
-748.6008505747064,-19005.696351604,-53139.358188338214
1656.2712623527968,-60598.20132020251,-66496.49401480163
1537.690072671295,-153443.09393580115,-53184.802607613536
1060.9158195032921,-101997.23268029884,-57223.58567844485
878.2859193974466,-110666.47379322581,-54751.59030253852
-33.87672839940839,-52151.906697213206,-55266.31090382497
-297.9385704098976,-49912.04241603882,-53237.87638980789
1156.9814951686033,-91761.8151836693,-59030.45182089229
-1063.320376252422,-32773.15344221868,-48270.62220351626
-109.20866695214971,-34006.022994595245,-57011.40119152229
-50.46451813587811,-83746.7759428106,-50356.467836396936
255.27894092695166,-97648.09326663807,-50898.47005380925
-370.1201148666018,-33069.96571973952,-54945.50281287425
167.99293283713706,-66636.163289074,-54901.98775030787
-159.45026156513444,-68973.286683024,-51833.25531213523
372.03000031085105,-78607.59775761563,-55024.991921624205
229.9773408413731,-53530.99397045815,-57292.4349947726
354.56874563691304,-37001.4524493039,-60656.070986891806
-902.9619502903461,-8166.365429693925,-53618.909868229326
