Stock,Harvest Value,NPV
-4531.271016755835,0.0,-72653.18927458447
1082.695777164908,-210873.6320924237,-74831.45848039453
-968.8916148304907,-9001.26420397686,-96480.08972114846
-1860.9912683697091,-106527.71424471875,-82357.581512581
-241.59268248345035,-119506.04270108425,-89044.7726265527
-2872.3595002013635,-30606.49189963484,-85290.31378209525
-1508.8845560855298,-148071.32977676886,-78755.50229530415
-2829.7357623216485,-87906.91903040558,-76838.26589145495
-229.4220243397029,-158921.49812240034,-84053.83838516312
-531.794853222638,-65607.343843068,-94365.07526188236
-1750.8392007305727,-81030.75662146535,-87090.61187956219
-3209.4485641751735,-43243.25989643376,-79463.05971256382
-2266.171568108855,-32587.13369555353,-89689.64467360257
-872.957207813361,-170406.57612674893,-79541.58008618205
-880.6439114542436,-19531.820749678962,-96422.12838612848
-2132.316269604267,-120855.49652165614,-77991.92673287386
-3541.4975248197165,-51296.017846404844,-75104.1077182002
-2275.872684282643,-79773.88669345045,-83172.95907343329
-1320.4281699654423,-115963.23097764225,-85244.38927076227
-312.89409441427307,-187777.71319001837,-79349.30769469209
-91.60467482805421,-182906.59831290646,-80910.08306942134
-104.15873714282321,-142959.15762272722,-86436.5387081215
-378.1411696170308,-98605.86320422209,-91432.64379256313
-3308.589122837073,-17694.71193722334,-81753.11946188669
-1586.6438286033556,-65901.14363124645,-90228.5020175362
-1278.4661953709663,-130955.9797221315,-83255.59845224346
-3889.946179144539,-11684.533813124439,-77556.27907886506
-1351.218637113899,-154760.70020832354,-78973.6000557633
-574.0822210197539,-60235.339286603594,-94765.78770120491
-1229.5639511541715,-103887.66766591626,-87362.42135312979
-2513.8813650680427,-81318.04065366444,-80771.19086309522
-2124.019151877337,-69276.09030825131,-85738.32569388578
-244.6364150160569,-189106.982324116,-79401.51556268884
-966.5595306352179,-169819.2496906666,-79139.89465760296
-1891.8790906745232,-35471.752147744475,-91987.92560280257
-2438.866232625293,-106758.33893339778,-77591.50460717556
-1774.641117732649,-136834.9248280679,-78475.0044122379
-1929.042718822006,-129853.30226706283,-78341.7771057421
-2651.455868425908,-59382.564016445016,-82698.42792120304
-2620.533238089149,-29911.945995610826,-87410.02026869291
-272.37013225864877,-126772.15380975093,-87965.70894544366
-3794.6391898807624,-30689.288662521216,-75661.5533246165
-2842.1464430896613,-71490.61602433612,-78998.9384967115
-1272.5120590731174,-88685.67495103467,-89330.84745353543
-450.04704889822307,-82304.39453357899,-92908.44931590704
-680.4613806343739,-38178.85651076031,-96014.80093490545
-422.3581399140449,-111361.41055107195,-89580.94497736731
-90.82914070795329,-156886.63365761767,-84645.58558356404
-241.59268248345035,-103447.30361677428,-90985.82398396007
-2910.5559557595243,-83397.15819664438,-76716.6872023561
-862.1898905687897,-38654.42948477002,-95602.5591859931
-1802.7162692794047,-95849.58539332522,-84553.51693694454
-1678.2472911339282,-120119.97318649935,-82023.06372456792
-427.04653556003,-85280.50731041723,-92731.14177511176
539.2754645463863,-197973.9963703653,-74957.43145379433
-1079.8586725523737,-127865.28916116692,-84703.74124553835
-3207.5986248611216,-68482.18272941181,-75958.61020564452
-2438.866232625293,-106758.33893339778,-77591.50460717556
-2132.316269604267,-99721.75511525763,-81214.66235038676
-942.0707482605021,-147414.76148672646,-82645.25652603773
-215.5990996468659,-174138.3672609933,-81845.64535557518
-90.82914070795329,-169548.6686927977,-82748.73736393674
-270.32573576047986,-148503.80945704837,-85526.99093952763
-1588.6550191961198,-53464.5942290136,-91573.38290543572
-794.6666506464778,-175886.2530209395,-78935.39636304906
-133.77724862689917,-132057.71377798295,-87558.93928435685
-91.60467482805421,-195568.6333480865,-79013.23484979404
-3102.7876400127934,-56192.2072611905,-78518.9450806117
-1871.1834067082702,-69859.51461682573,-88001.7443136969
-2732.3786117729946,-46448.67768015033,-83700.12345414289
-3576.9119152112144,-15298.408763145624,-80325.50219539739
-2688.0045351997696,-95120.25243528212,-77194.88783878907
-3953.922901402385,-29487.328026051582,-74177.46953980383
-2340.836916933936,-42420.4791021241,-88156.59013690165
-2179.0990279280145,-118315.3032623337,-78047.48477585783
-3136.654283101867,-23945.45287336212,-83820.0048800758
-564.6382421658509,-184151.01005748083,-79040.4198542333
-1093.6919777028997,-116631.69124777413,-86180.04039895575
-1454.8972276822565,-129012.37141092273,-82195.32370823597
-2055.33303058062,-48230.33529526572,-89312.17666856274
-855.244225489934,-71879.59199447442,-93139.07808708551
-1293.946889907361,-156897.4722064551,-78995.69008709685
-4099.979459892922,-9129.043532206824,-75249.25209421071
-1722.972773440517,-139428.03832269483,-78491.11503806259
-2536.7267989977636,-73888.87422642729,-81838.83987871611
-968.8916148304907,-9001.26420397686,-96480.08972114846
-297.094852717165,-111189.76130963408,-89986.25579990272
-800.402795378049,-88035.60296094442,-91676.36340768034
-1616.03725754696,-97263.6799132999,-85541.60961658781
-1277.197332992898,-138250.23320644588,-82071.3589714229
1082.695777164908,-210873.6320924237,-74831.45848039453
-545.969160561835,-63243.10111357198,-94545.10153824453
-271.1012698805808,-135396.19414705335,-87025.26301153474
-726.3831471648416,-43843.04345430195,-95725.24940332328
-1376.4133990715156,-75586.14624217537,-90230.20602347537
-2916.5973366669195,-49747.8397012449,-81992.01189095607
-1079.5759434987754,-165773.76123396266,-79277.60059665903
-1842.926384390068,-114201.7701290778,-81304.87518911337
-3162.288138790008,-71394.19997607211,-76047.72961733682
-1497.0914112965208,-143371.83523369962,-79503.57325538454
-937.8367407186761,-54708.62936050535,-94591.45762283175
-1598.967828036266,-109292.47157523729,-84053.31181179517
-2190.566180224942,-77711.94253034964,-84163.85890049898
